,type,times
unif-p12-k5-r21.117-v250-c5279-S2438009238149215611.cnf,unif_medium,1.6289086248725653
fla-komb-340-2.cnf,komb,321.11651124432683
fla-barthel-200-2.cnf,barthel,0.025406699627637863
fla-komb-380-1.cnf,komb,48.03240163810551
fla-barthel-360-3.cnf,barthel,0.023099655285477638
fla-qhid-300-4.cnf,qhid,10000.0
unif-k5-r17.4-v250000-c4350000-S5797512427540361148.cnf,unif_huge,33.24141566455364
fla-qhid-260-2.cnf,qhid,0.021624542772769928
unif-k3-r4.24-v1000000-c4240000-S6562917690220172049.cnf,unif_huge,10000.0
fla-barthel-360-2.cnf,barthel,0.0246850848197937
fla-qhid-280-3.cnf,qhid,0.0994812585413456
unif-p12-k3-r4.267-v6000-c25602-S7439270938929137359.cnf,unif_medium,10000.0
fla-komb-380-4.cnf,komb,17.050853934139013
fla-komb-400-1.cnf,komb,430.7306460607797
fla-komb-360-5.cnf,komb,8.461894346401095
fla-qhid-300-3.cnf,qhid,10000.0
unif-k7-r57.0-v50000-c2850000-S2212637342005307362.cnf,unif_huge,4.6415513679385185
fla-komb-400-2.cnf,komb,10000.0
fla-qhid-320-2.cnf,qhid,10000.0
fla-komb-360-2.cnf,komb,1156.9202730935067
unif-p12-k5-r21.117-v250-c5279-S4586200002967184633.cnf,unif_medium,14.632157240062952
fla-qhid-320-4.cnf,qhid,10000.0
unif-k3-r4.1-v1000000-c4100000-S3006438305194930998.cnf,unif_huge,141.91332483105361
unif-k7-r56.0-v50000-c2800000-S195225285383953492.cnf,unif_huge,4.6726328283548355
fla-komb-200-2.cnf,komb,8.725331848487258
fla-qhid-280-1.cnf,qhid,0.031332921236753464
unif-p12-k5-r21.117-v250-c5279-S5146849569236987172.cnf,unif_medium,129.88708988390863
fla-komb-360-4.cnf,komb,13.927310517057776
fla-barthel-380-4.cnf,barthel,0.02234688773751259
unif-p12-k3-r4.267-v6000-c25602-S576544832046034583.cnf,unif_medium,10000.0
fla-komb-200-3.cnf,komb,6.594282317906618
fla-barthel-220-2.cnf,barthel,0.020327702164649963
unif-k7-r60.0-v50000-c3000000-S3068543204637854689.cnf,unif_huge,6.28848397359252
fla-komb-200-1.cnf,komb,6.708261679857969
fla-komb-280-4.cnf,komb,7.355331160128117
unif-p12-k7-r87.79-v120-c10535-S897752819350874950.cnf,unif_medium,10000.0
unif-k5-r19.4-v250000-c4850000-S4977239046383547695.cnf,unif_huge,10000.0
fla-komb-240-1.cnf,komb,17.184600675478578
unif-p12-k5-r21.117-v250-c5279-S7988922722568135701.cnf,unif_medium,0.578387975692749
unif-k7-r61.0-v50000-c3050000-S6175973465776030224.cnf,unif_huge,8.060797367244959
unif-k5-r18.0-v250000-c4500000-S7004037792953090463.cnf,unif_huge,88.10568237677217
fla-qhid-400-4.cnf,qhid,10000.0
fla-komb-380-3.cnf,komb,15.134299911558628
unif-k3-r4.04-v1000000-c4040000-S2723657137554619985.cnf,unif_huge,70.3708386644721
fla-barthel-400-4.cnf,barthel,0.025543997064232826
unif-k3-r4.12-v1000000-c4120000-S2546611150396784489.cnf,unif_huge,203.07810310088098
fla-barthel-280-2.cnf,barthel,0.021384725347161293
fla-qhid-260-3.cnf,qhid,229.2836845945567
unif-k3-r3.92-v1000000-c3920000-S6478714752512805755.cnf,unif_huge,27.31430859863758
unif-k7-r68.0-v50000-c3400000-S4442431645467418102.cnf,unif_huge,10000.0
fla-barthel-260-3.cnf,barthel,0.02607353962957859
unif-p12-k5-r21.117-v250-c5279-S4431368113368578217.cnf,unif_medium,92.92023467831314
fla-komb-340-4.cnf,komb,256.527080507949
fla-barthel-400-2.cnf,barthel,0.024009238928556442
unif-k7-r69.0-v50000-c3450000-S2189308032964145056.cnf,unif_huge,10000.0
unif-k7-r73.0-v50000-c3650000-S7543884219799471280.cnf,unif_huge,10000.0
unif-p12-k5-r21.117-v250-c5279-S8618839184587418381.cnf,unif_medium,1108.4152263887227
fla-qhid-240-5.cnf,qhid,0.10180573351681232
unif-p12-k7-r87.79-v120-c10535-S8229271266424213663.cnf,unif_medium,2769.7068395595998
unif-k3-r4.02-v1000000-c4020000-S6026103505991187175.cnf,unif_huge,58.620900420472026
fla-komb-360-3.cnf,komb,216.9882324486971
unif-k7-r67.0-v50000-c3350000-S842956992632297945.cnf,unif_huge,10000.0
unif-k7-r74.0-v50000-c3700000-S9166766536875706726.cnf,unif_huge,10000.0
fla-barthel-200-3.cnf,barthel,0.022031616419553757
fla-qhid-240-2.cnf,qhid,0.2124132215976715
unif-k5-r19.0-v250000-c4750000-S2088952204313190494.cnf,unif_huge,10000.0
unif-k5-r17.8-v250000-c4450000-S3493899910210087180.cnf,unif_huge,56.316155683249235
fla-barthel-260-4.cnf,barthel,0.08699725940823555
fla-barthel-400-3.cnf,barthel,0.026159556582570076
fla-komb-220-1.cnf,komb,7.447593996301293
unif-p12-k3-r4.267-v6000-c25602-S6852714315188707777.cnf,unif_medium,10000.0
unif-k5-r18.6-v250000-c4650000-S4524960827059429065.cnf,unif_huge,10000.0
unif-k3-r4.18-v1000000-c4180000-S8945059457148426366.cnf,unif_huge,692.8540325593203
unif-k7-r71.0-v50000-c3550000-S3769378688654528826.cnf,unif_huge,10000.0
fla-komb-220-4.cnf,komb,7.269468257203698
fla-barthel-280-3.cnf,barthel,0.03756757266819477
fla-barthel-300-2.cnf,barthel,0.02309805154800415
fla-barthel-240-4.cnf,barthel,0.020166872069239616
fla-qhid-400-5.cnf,qhid,10000.0
fla-barthel-400-5.cnf,barthel,0.024287203326821327
unif-k5-r18.8-v250000-c4700000-S8770997695881968895.cnf,unif_huge,10000.0
fla-barthel-260-2.cnf,barthel,0.021447543054819107
fla-komb-220-2.cnf,komb,8.323964463546872
unif-p12-k3-r4.267-v6000-c25602-S5214439831496291225.cnf,unif_medium,10.4068519230932
fla-qhid-340-4.cnf,qhid,0.04056765325367451
fla-komb-400-4.cnf,komb,10.361391117796302
fla-komb-380-5.cnf,komb,10.785078909248114
unif-p12-k3-r4.267-v6000-c25602-S4604754340098479598.cnf,unif_medium,10000.0
unif-k7-r55.0-v50000-c2750000-S3881730705853820878.cnf,unif_huge,3.68603752553463
fla-qhid-300-2.cnf,qhid,10000.0
fla-qhid-380-3.cnf,qhid,10000.0
unif-k5-r19.8-v250000-c4950000-S5874182606617708346.cnf,unif_huge,10000.0
fla-komb-300-2.cnf,komb,32.89939740858972
fla-komb-300-3.cnf,komb,46.213791236281395
fla-barthel-280-4.cnf,barthel,0.024292340502142906
unif-k7-r58.0-v50000-c2900000-S6707182710628844401.cnf,unif_huge,4.707003640010953
