,no_restarts,with_restarts,agressive
qhid/n50/gen_n50_m275_k3SAT_seed901471250.cnf,1379008.7333333334,913818.1233333333,5911.653333333334
qhid/n50/gen_n50_m275_k3SAT_seed963365776.cnf,10980518.81,20474.45,13486.743333333334
qhid/n50/gen_n50_m275_k3SAT_seed4140402419.cnf,14672991.953333333,25482.783333333333,18162.7
qhid/n50/gen_n50_m275_k3SAT_seed4256242090.cnf,9410937.333333334,2188204.69,14312.87
qhid/n50/gen_n50_m275_k3SAT_seed436666886.cnf,91.43,81.53666666666666,88.06666666666666
qhid/n50/gen_n50_m275_k3SAT_seed476516010.cnf,161.69,153.93666666666667,165.64333333333335
qhid/n50/gen_n50_m275_k3SAT_seed481235067.cnf,82.81666666666666,79.86666666666666,86.97666666666667
qhid/n50/gen_n50_m275_k3SAT_seed520689356.cnf,147361971.20666668,9577172.07,11619.526666666667
qhid/n50/gen_n50_m275_k3SAT_seed568763504.cnf,1201441.7033333334,749315.75,5331.6466666666665
qhid/n50/gen_n50_m275_k3SAT_seed595022251.cnf,93.37666666666667,92.36333333333333,84.64666666666666
qhid/n50/gen_n50_m275_k3SAT_seed597613883.cnf,61.24333333333333,63.236666666666665,63.13
qhid/n50/gen_n50_m275_k3SAT_seed1603362545.cnf,102354687.01333334,3632329.1133333333,16481.553333333333
qhid/n50/gen_n50_m275_k3SAT_seed1824181490.cnf,114.27666666666667,127.32,130.32333333333332
qhid/n50/gen_n50_m275_k3SAT_seed235318485.cnf,164.68,156.36,138.07666666666665
qhid/n50/gen_n50_m275_k3SAT_seed2895821581.cnf,5315521.18,7957.636666666666,8339.783333333333
qhid/n50/gen_n50_m275_k3SAT_seed3204454542.cnf,153.72,174.18,205.56333333333333
qhid/n50/gen_n50_m275_k3SAT_seed3653864484.cnf,264.92333333333335,265.7266666666667,359.1333333333333
qhid/n50/gen_n50_m275_k3SAT_seed3845299023.cnf,109.39,98.52,101.14666666666666
qhid/n50/gen_n50_m275_k3SAT_seed4085678677.cnf,498077786.46,142105.07333333333,15215.316666666668
qhid/n50/gen_n50_m275_k3SAT_seed674984871.cnf,47.596666666666664,44.193333333333335,46.016666666666666
qhid/n50/gen_n50_m275_k3SAT_seed3847486290.cnf,68.66666666666667,68.92,71.42666666666666
qhid/n50/gen_n50_m275_k3SAT_seed3858160414.cnf,70.77666666666667,67.69,70.98
qhid/n50/gen_n50_m275_k3SAT_seed3893003984.cnf,58.903333333333336,58.82666666666667,61.08
qhid/n50/gen_n50_m275_k3SAT_seed3914344193.cnf,67.89,62.57,64.45
qhid/n50/gen_n50_m275_k3SAT_seed3946883513.cnf,3428961361.58,2868292.01,15183.05
qhid/n50/gen_n50_m275_k3SAT_seed3967818720.cnf,21002542.733333334,2139737.006666667,13349.666666666666
qhid/n50/gen_n50_m275_k3SAT_seed4021746687.cnf,696.3833333333333,616.5366666666666,757.7133333333334
qhid/n50/gen_n50_m275_k3SAT_seed4063964357.cnf,1434517742.63,20246.27,20688.233333333334
qhid/n50/gen_n50_m275_k3SAT_seed3660155615.cnf,287.87666666666667,285.7266666666667,293.85
qhid/n50/gen_n50_m275_k3SAT_seed3721854806.cnf,284.63,280.2033333333333,322.41333333333336
qhid/n50/gen_n50_m275_k3SAT_seed3744032180.cnf,342913.48,268857.2833333333,5224.456666666667
qhid/n50/gen_n50_m275_k3SAT_seed376721806.cnf,1375034764.6233332,11314274.576666666,20821.54
qhid/n50/gen_n50_m275_k3SAT_seed3776879100.cnf,34577270.35333333,6544597.16,9806.226666666667
qhid/n50/gen_n50_m275_k3SAT_seed3807057865.cnf,944.3,1084.0833333333333,1094.6266666666668
qhid/n50/gen_n50_m275_k3SAT_seed3810769707.cnf,17378150.683333334,2009306.5833333333,13294.083333333334
qhid/n50/gen_n50_m275_k3SAT_seed3820700084.cnf,128994436.70666666,2484365.62,15464.926666666666
qhid/n50/gen_n50_m275_k3SAT_seed3833151894.cnf,391809735.43666667,14307969.52,26091.516666666666
qhid/n50/gen_n50_m275_k3SAT_seed3282914714.cnf,623219531.7033334,5734518.426666667,26137.466666666667
qhid/n50/gen_n50_m275_k3SAT_seed3318206855.cnf,342.91,328.1566666666667,320.86333333333334
qhid/n50/gen_n50_m275_k3SAT_seed3325204331.cnf,265.42333333333335,265.4,311.8566666666667
qhid/n50/gen_n50_m275_k3SAT_seed3391284424.cnf,90.92666666666666,82.99333333333334,97.35
qhid/n50/gen_n50_m275_k3SAT_seed3405890392.cnf,1664663.98,1517344.16,4917.246666666667
qhid/n50/gen_n50_m275_k3SAT_seed347096280.cnf,203.6,187.48,210.69
qhid/n50/gen_n50_m275_k3SAT_seed3476821990.cnf,144.73,133.06,154.58666666666667
qhid/n50/gen_n50_m275_k3SAT_seed35444480.cnf,182.64666666666668,194.68,203.77666666666667
qhid/n50/gen_n50_m275_k3SAT_seed3632711121.cnf,268389487.93333334,2407950.803333333,9444.523333333333
qhid/n50/gen_n50_m275_k3SAT_seed2906162015.cnf,69.7,68.67,73.73666666666666
qhid/n50/gen_n50_m275_k3SAT_seed2956830466.cnf,92.18666666666667,98.45666666666666,93.64333333333333
qhid/n50/gen_n50_m275_k3SAT_seed3006899319.cnf,6354207.066666666,2067818.3066666666,7045.54
qhid/n50/gen_n50_m275_k3SAT_seed3021425256.cnf,3028505410.32,11497520.4,17370.13
qhid/n50/gen_n50_m275_k3SAT_seed3044275910.cnf,589544.46,512511.3233333333,11464.463333333333
qhid/n50/gen_n50_m275_k3SAT_seed3114132054.cnf,134.24,142.46333333333334,134.69
qhid/n50/gen_n50_m275_k3SAT_seed3116885046.cnf,140.32,148.12333333333333,168.63
qhid/n50/gen_n50_m275_k3SAT_seed3127561837.cnf,160.33666666666667,162.17,149.48
qhid/n50/gen_n50_m275_k3SAT_seed3162099204.cnf,1045022213.51,148312.64666666667,32334.593333333334
qhid/n50/gen_n50_m275_k3SAT_seed2380573512.cnf,48.723333333333336,49.07666666666667,49.36
qhid/n50/gen_n50_m275_k3SAT_seed2485498851.cnf,69.77,76.40666666666667,74.04333333333334
qhid/n50/gen_n50_m275_k3SAT_seed2535870939.cnf,1071.26,948.97,933.6366666666667
qhid/n50/gen_n50_m275_k3SAT_seed2563432516.cnf,226.16333333333333,250.93,300.24333333333334
qhid/n50/gen_n50_m275_k3SAT_seed2597161678.cnf,676784993.0533333,14580418.533333333,14298.05
qhid/n50/gen_n50_m275_k3SAT_seed2633739375.cnf,116.38666666666667,111.11333333333333,132.66666666666666
qhid/n50/gen_n50_m275_k3SAT_seed2648491769.cnf,144.05666666666667,150.91666666666666,146.70333333333335
qhid/n50/gen_n50_m275_k3SAT_seed271989856.cnf,90.65333333333334,90.55666666666667,99.88666666666667
qhid/n50/gen_n50_m275_k3SAT_seed27638353.cnf,66.38333333333334,67.68666666666667,71.10333333333334
qhid/n50/gen_n50_m275_k3SAT_seed185519911.cnf,139.99333333333334,138.02,162.83333333333334
qhid/n50/gen_n50_m275_k3SAT_seed1941415057.cnf,285845.37333333335,31846.03,4264.11
qhid/n50/gen_n50_m275_k3SAT_seed1988601455.cnf,163.82333333333332,171.64666666666668,187.40333333333334
qhid/n50/gen_n50_m275_k3SAT_seed1991668818.cnf,200.88666666666666,211.90666666666667,302.38666666666666
qhid/n50/gen_n50_m275_k3SAT_seed2111885833.cnf,570.1233333333333,589.07,548.3366666666667
qhid/n50/gen_n50_m275_k3SAT_seed2159432583.cnf,78.13333333333334,81.75,84.64333333333333
qhid/n50/gen_n50_m275_k3SAT_seed2174409020.cnf,70.57666666666667,70.24666666666667,67.23
qhid/n50/gen_n50_m275_k3SAT_seed220477975.cnf,154865295.69333333,11074.5,10778.7
qhid/n50/gen_n50_m275_k3SAT_seed22641346.cnf,208.38666666666666,220.95333333333335,213.42
qhid/n50/gen_n50_m275_k3SAT_seed1627004054.cnf,19766119.85,2011113.0133333334,10649.796666666667
qhid/n50/gen_n50_m275_k3SAT_seed1627876804.cnf,66499442.03666667,26620.35,15905.643333333333
qhid/n50/gen_n50_m275_k3SAT_seed1647827943.cnf,120.28333333333333,107.84,117.46666666666667
qhid/n50/gen_n50_m275_k3SAT_seed16641382.cnf,1343989893.9566667,12410093.27,23658.413333333334
qhid/n50/gen_n50_m275_k3SAT_seed1703138837.cnf,94.54,90.91666666666667,91.93666666666667
qhid/n50/gen_n50_m275_k3SAT_seed175645968.cnf,137.31333333333333,125.83333333333333,133.08666666666667
qhid/n50/gen_n50_m275_k3SAT_seed1766037702.cnf,97.92,94.85666666666667,104.18666666666667
qhid/n50/gen_n50_m275_k3SAT_seed1811425626.cnf,119880120.79666667,7861335.94,17473.18666666667
qhid/n50/gen_n50_m275_k3SAT_seed1814995992.cnf,138.30666666666667,134.09666666666666,147.73666666666668
