,type,times
fla-qhid-380-5.cnf,qhid,10000.0
unif-k3-r3.88-v1000000-c3880000-S988330601699829825.cnf,unif_huge,20.791986098513007
fla-barthel-340-5.cnf,barthel,0.024241823703050613
unif-k5-r16.6-v250000-c4150000-S802792001249715031.cnf,unif_huge,16.737024504691362
fla-barthel-200-1.cnf,barthel,0.0337519645690918
unif-k5-r17.6-v250000-c4400000-S1626301720047942661.cnf,unif_huge,43.637148942798376
unif-p12-k5-r21.117-v250-c5279-S1173863765273039011.cnf,unif_medium,10000.0
fla-barthel-340-4.cnf,barthel,0.028987430036067963
fla-komb-260-3.cnf,komb,7.31904730014503
fla-qhid-200-3.cnf,qhid,230.04062944091856
unif-p12-k5-r21.117-v250-c5279-S2438009238149215611.cnf,unif_medium,1.6289086248725653
fla-komb-340-2.cnf,komb,264.85168547928333
fla-barthel-200-2.cnf,barthel,0.02555876038968563
fla-komb-380-1.cnf,komb,15.44316540658474
fla-barthel-360-3.cnf,barthel,0.023114126175642014
fla-qhid-300-4.cnf,qhid,10000.0
unif-k5-r17.4-v250000-c4350000-S5797512427540361148.cnf,unif_huge,33.24141566455364
fla-qhid-260-2.cnf,qhid,0.020292293280363083
unif-k3-r4.24-v1000000-c4240000-S6562917690220172049.cnf,unif_huge,10000.0
fla-barthel-360-2.cnf,barthel,0.025789590552449226
fla-qhid-280-3.cnf,qhid,0.04437903128564358
unif-p12-k3-r4.267-v6000-c25602-S7439270938929137359.cnf,unif_medium,10000.0
fla-komb-380-4.cnf,komb,52.076872726902366
fla-komb-400-1.cnf,komb,2009.376168353483
fla-komb-360-5.cnf,komb,47.2125452272594
fla-qhid-300-3.cnf,qhid,10000.0
unif-k7-r57.0-v50000-c2850000-S2212637342005307362.cnf,unif_huge,4.6415513679385185
fla-komb-400-2.cnf,komb,74.99248322658241
fla-qhid-320-2.cnf,qhid,10000.0
fla-komb-360-2.cnf,komb,309.0157669894397
unif-p12-k5-r21.117-v250-c5279-S4586200002967184633.cnf,unif_medium,14.632157240062952
fla-qhid-320-4.cnf,qhid,10000.0
unif-k3-r4.1-v1000000-c4100000-S3006438305194930998.cnf,unif_huge,141.91332483105361
unif-k7-r56.0-v50000-c2800000-S195225285383953492.cnf,unif_huge,4.6726328283548355
fla-komb-200-2.cnf,komb,7.434440512210131
fla-qhid-280-1.cnf,qhid,0.03669641353189945
unif-p12-k5-r21.117-v250-c5279-S5146849569236987172.cnf,unif_medium,129.88708988390863
fla-komb-360-4.cnf,komb,9.907297812402248
fla-barthel-380-4.cnf,barthel,0.022586597129702568
unif-p12-k3-r4.267-v6000-c25602-S576544832046034583.cnf,unif_medium,10000.0
fla-komb-200-3.cnf,komb,6.820191342383623
fla-barthel-220-2.cnf,barthel,0.028597785159945488
unif-k7-r60.0-v50000-c3000000-S3068543204637854689.cnf,unif_huge,6.28848397359252
fla-komb-200-1.cnf,komb,8.049729783087969
fla-komb-280-4.cnf,komb,7.65711085498333
unif-p12-k7-r87.79-v120-c10535-S897752819350874950.cnf,unif_medium,10000.0
unif-k5-r19.4-v250000-c4850000-S4977239046383547695.cnf,unif_huge,10000.0
fla-komb-240-1.cnf,komb,28.593879027292132
unif-p12-k5-r21.117-v250-c5279-S7988922722568135701.cnf,unif_medium,0.578387975692749
unif-k7-r61.0-v50000-c3050000-S6175973465776030224.cnf,unif_huge,8.060797367244959
unif-k5-r18.0-v250000-c4500000-S7004037792953090463.cnf,unif_huge,88.10568237677217
fla-qhid-400-4.cnf,qhid,10000.0
fla-komb-380-3.cnf,komb,18.57643557153642
unif-k3-r4.04-v1000000-c4040000-S2723657137554619985.cnf,unif_huge,70.3708386644721
fla-barthel-400-4.cnf,barthel,0.025267424061894417
unif-k3-r4.12-v1000000-c4120000-S2546611150396784489.cnf,unif_huge,203.07810310088098
fla-barthel-280-2.cnf,barthel,0.020711565390229225
fla-qhid-260-3.cnf,qhid,10000.0
unif-k3-r3.92-v1000000-c3920000-S6478714752512805755.cnf,unif_huge,27.31430859863758
unif-k7-r68.0-v50000-c3400000-S4442431645467418102.cnf,unif_huge,10000.0
fla-barthel-260-3.cnf,barthel,0.023229796439409256
unif-p12-k5-r21.117-v250-c5279-S4431368113368578217.cnf,unif_medium,92.92023467831314
fla-komb-340-4.cnf,komb,34.59817139059305
fla-barthel-400-2.cnf,barthel,0.02474360540509224
unif-k7-r69.0-v50000-c3450000-S2189308032964145056.cnf,unif_huge,10000.0
unif-k7-r73.0-v50000-c3650000-S7543884219799471280.cnf,unif_huge,10000.0
unif-p12-k5-r21.117-v250-c5279-S8618839184587418381.cnf,unif_medium,1108.4152263887227
fla-qhid-240-5.cnf,qhid,0.09383527562022209
unif-p12-k7-r87.79-v120-c10535-S8229271266424213663.cnf,unif_medium,2769.7068395595998
unif-k3-r4.02-v1000000-c4020000-S6026103505991187175.cnf,unif_huge,58.620900420472026
fla-komb-360-3.cnf,komb,41.888134337961674
unif-k7-r67.0-v50000-c3350000-S842956992632297945.cnf,unif_huge,10000.0
unif-k7-r74.0-v50000-c3700000-S9166766536875706726.cnf,unif_huge,10000.0
fla-barthel-200-3.cnf,barthel,0.02163737826049328
fla-qhid-240-2.cnf,qhid,0.09018793143332005
unif-k5-r19.0-v250000-c4750000-S2088952204313190494.cnf,unif_huge,10000.0
unif-k5-r17.8-v250000-c4450000-S3493899910210087180.cnf,unif_huge,56.316155683249235
fla-barthel-260-4.cnf,barthel,0.0889245979487896
fla-barthel-400-3.cnf,barthel,0.024882547557353973
fla-komb-220-1.cnf,komb,7.14525093883276
unif-p12-k3-r4.267-v6000-c25602-S6852714315188707777.cnf,unif_medium,10000.0
